Canal,Formato,Tienda,Marca,Genero,Tipo,Precio_Lista,Cantidad_Inventario,Cantidad_Ventas,Despacho
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CHAQUETA,4449900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CHAQUETA,4999900.0,2.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CORREA,799900.0,8.0,0.0,20.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CORREA,849900.0,2.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CORREA,999900.0,2.0,0.0,11.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,CORREA,1399900.0,1.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,FALDA,999900.0,4.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,FALDA,1399900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,FALDA,1499900.0,2.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,FALDA,1599900.0,3.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,FALDA,1699900.0,1.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,GORRO,999900.0,2.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,849900.0,3.0,0.0,15.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,899900.0,13.0,0.0,18.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,999900.0,53.0,0.0,126.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1099900.0,34.0,0.0,101.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1199900.0,5.0,0.0,17.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1249900.0,1.0,0.0,8.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1349900.0,14.0,0.0,13.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1499900.0,5.0,0.0,5.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1599900.0,4.0,0.0,14.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1699900.0,27.0,0.0,29.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1799900.0,2.0,0.0,12.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1949900.0,3.0,0.0,7.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,1999900.0,3.0,0.0,3.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,2099900.0,12.0,0.0,16.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,JEAN,2199900.0,11.0,0.0,16.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,LLAVERO,349900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,LLAVERO,499900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,LLAVERO,799900.0,4.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,PANTALON,1399900.0,3.0,0.0,4.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,PANTALON,1699900.0,6.0,0.0,6.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,PANTALON,1799900.0,6.0,0.0,1.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,PANTALON,2099900.0,2.0,0.0,2.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ROPA DE BAÑO,699900.0,3.0,0.0,0.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ROPA INTERIOR,249900.0,3.0,0.0,6.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,ROPA INTERIOR,299900.0,7.0,0.0,18.0
Diesel,Linea,DIESEL ANDINO BOGOTA,DIESEL ADULTO,FEMENINO,TENIS,949900.0,5.0,0.0,15.0
