CO,Tienda,Marca,Genero,Tipo,Cantidad,Precio_unitario_promedio,Precio_Intervalo
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,BUZO,1.0,1449900.0,"[1439900.0, 1524900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,CAMISETA,1.0,549900.0,"[549900.0, 574900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,11.0,799900.0,"[799900.0, 974900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,949900.0,"[799900.0, 974900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,2.0,1099900.0,"[974900.0, 1149900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,1149900.0,"[1149900.0, 1324900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,2.0,1199900.0,"[1149900.0, 1324900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,1249900.0,"[1149900.0, 1324900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,3.0,1399900.0,"[1324900.0, 1499900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,2.0,1449900.0,"[1324900.0, 1499900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,1599900.0,"[1499900.0, 1674900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,7.0,1699900.0,"[1674900.0, 1849900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,2.0,1749900.0,"[1674900.0, 1849900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,JEAN,1.0,2149900.0,"[2024900.0, 2199900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,3.0,199900.0,"[199900.0, 389900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,2.0,799900.0,"[769900.0, 959900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,4.0,999900.0,"[959900.0, 1149900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,1.0,1199900.0,"[1149900.0, 1339900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,2.0,1349900.0,"[1339900.0, 1529900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,FEMENINO,TENIS,2.0,2099900.0,"[1909900.0, 2101800.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,BILLETERA,1.0,599900.0,"[599900.0, 604900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,BUZO,1.0,899900.0,"[849900.0, 959900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,BUZO,7.0,999900.0,"[959900.0, 1069900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,1.0,79900.0,"[79900.0, 186900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,12.0,349900.0,"[293900.0, 400900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,9.0,399900.0,"[293900.0, 400900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,25.0,449900.0,"[400900.0, 507900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CAMISETA,1.0,499900.0,"[400900.0, 507900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CHAQUETA,2.0,1399900.0,"[1399900.0, 1449900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,CHAQUETA,1.0,1799900.0,"[1799900.0, 1849900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,GORRO,1.0,299900.0,"[299900.0, 369900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,239900.0,"[239900.0, 455900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,2.0,799900.0,"[671900.0, 887900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,3.0,849900.0,"[671900.0, 887900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,2.0,949900.0,"[887900.0, 1103900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,7.0,999900.0,"[887900.0, 1103900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,1099900.0,"[887900.0, 1103900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,11.0,1149900.0,"[1103900.0, 1319900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,6.0,1249900.0,"[1103900.0, 1319900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,4.0,1299900.0,"[1103900.0, 1319900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,2.0,1449900.0,"[1319900.0, 1535900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,11.0,1599900.0,"[1535900.0, 1751900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,1699900.0,"[1535900.0, 1751900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,4.0,1749900.0,"[1535900.0, 1751900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,3.0,1799900.0,"[1751900.0, 1967900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,8.0,1899900.0,"[1751900.0, 1967900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,1949900.0,"[1751900.0, 1967900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,1999900.0,"[1967900.0, 2183900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,12.0,2099900.0,"[1967900.0, 2183900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,2.0,2149900.0,"[1967900.0, 2183900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,2299900.0,"[2183900.0, 2402060.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,JEAN,1.0,2349900.0,"[2183900.0, 2402060.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,14.0,499900.0,"[499900.0, 529900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,1.0,549900.0,"[529900.0, 559900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,1.0,649900.0,"[649900.0, 679900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,2.0,699900.0,"[679900.0, 709900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,6.0,749900.0,"[739900.0, 769900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,POLO,1.0,799900.0,"[769900.0, 800200.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,1.0,279900.0,"[279900.0, 289900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,9.0,299900.0,"[299900.0, 309900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,ROPA INTERIOR,1.0,349900.0,"[339900.0, 350000.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,1.0,199900.0,"[199900.0, 379900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,1.0,749900.0,"[739900.0, 919900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,2.0,899900.0,"[739900.0, 919900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,43.0,999900.0,"[919900.0, 1099900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,5.0,1199900.0,"[1099900.0, 1279900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,3.0,1349900.0,"[1279900.0, 1459900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,1.0,1449900.0,"[1279900.0, 1459900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,1.0,1549900.0,"[1459900.0, 1639900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,1.0,1649900.0,"[1639900.0, 1819900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,1.0,1699900.0,"[1639900.0, 1819900.0)"
07P,PILATOS PREMIUM SOPO,DIESEL ADULTO,MASCULINO,TENIS,6.0,1999900.0,"[1819900.0, 2001700.0)"
07P,PILATOS PREMIUM SOPO,GOORIN BROS,MASCULINO,GORRO,3.0,269900.0,"[269900.0, 280500.0)"
07P,PILATOS PREMIUM SOPO,GOORIN BROS,MASCULINO,GORRO,1.0,375000.0,"[365300.0, 376006.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BILLETERA,2.0,199900.0,"[199900.0, 224900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BILLETERA,1.0,249900.0,"[249900.0, 274900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BILLETERA,2.0,299900.0,"[299900.0, 324900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BILLETERA,1.0,399900.0,"[374900.0, 400150.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BOLSO,3.0,199900.0,"[149900.0, 204900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BOLSO,1.0,349900.0,"[314900.0, 369900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BOLSO,1.0,399900.0,"[369900.0, 424900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BOLSO,2.0,449900.0,"[424900.0, 479900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BOLSO,2.0,499900.0,"[479900.0, 534900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BOLSO,1.0,549900.0,"[534900.0, 589900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BOLSO,4.0,599900.0,"[589900.0, 644900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,BOLSO,1.0,699900.0,"[644900.0, 700450.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,CARTUCHERA,3.0,149900.0,"[149900.0, 164900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,CARTUCHERA,13.0,249900.0,"[239900.0, 254900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,CARTUCHERA,1.0,299900.0,"[284900.0, 300050.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,COSMETIQUERA,1.0,249900.0,"[244900.0, 259900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,COSMETIQUERA,1.0,299900.0,"[289900.0, 304900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,COSMETIQUERA,1.0,349900.0,"[334900.0, 350050.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,LONCHERA,3.0,349900.0,"[339900.0, 355900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,LONCHERA,2.0,399900.0,"[387900.0, 403900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,LLAVERO,24.0,49900.0,"[49900.0, 64900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,LLAVERO,1.0,59900.0,"[49900.0, 64900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,MORRAL,4.0,499900.0,"[499900.0, 519900.0)"
07P,PILATOS PREMIUM SOPO,KIPLING,FEMENINO,MORRAL,2.0,599900.0,"[579900.0, 600100.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,BUZO,2.0,219900.0,"[219900.0, 219943.98)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISA,2.0,149900.0,"[149900.0, 159900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISA,1.0,199900.0,"[199900.0, 209900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISA,4.0,249900.0,"[239900.0, 250000.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISETA,14.0,31900.0,"[31900.0, 47700.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISETA,5.0,109900.0,"[95100.0, 110900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISETA,3.0,119900.0,"[110900.0, 126700.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISETA,10.0,139900.0,"[126700.0, 142500.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CAMISETA,2.0,189900.0,"[174100.0, 190058.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CHAQUETA,21.0,349900.0,"[349900.0, 369900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CHAQUETA,4.0,399900.0,"[389900.0, 409900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,CHAQUETA,1.0,549900.0,"[529900.0, 550100.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,ENTERIZO,1.0,299900.0,"[299900.0, 299959.98)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,FALDA,1.0,199900.0,"[199900.0, 224900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,FALDA,6.0,249900.0,"[249900.0, 274900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,FALDA,3.0,349900.0,"[349900.0, 374900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,JEAN,5.0,129900.0,"[129900.0, 166900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,JEAN,1.0,249900.0,"[240900.0, 277900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,JEAN,6.0,299900.0,"[277900.0, 314900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,JEAN,20.0,349900.0,"[314900.0, 351900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,JEAN,8.0,399900.0,"[388900.0, 425900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,JEAN,1.0,499900.0,"[462900.0, 500270.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,PANTALON,9.0,79900.0,"[79900.0, 126900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,PANTALON,3.0,199900.0,"[173900.0, 220900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,PANTALON,5.0,299900.0,"[267900.0, 314900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,PANTALON,2.0,349900.0,"[314900.0, 361900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,PANTALON,2.0,449900.0,"[408900.0, 455900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,PANTALON,1.0,549900.0,"[502900.0, 550370.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,POLO,1.0,199900.0,"[199900.0, 199939.98)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,VESTIDO,3.0,39900.0,"[39900.0, 75900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,VESTIDO,1.0,299900.0,"[291900.0, 327900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,FEMENINO,VESTIDO,3.0,399900.0,"[363900.0, 400260.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,1.0,55900.0,"[55900.0, 97300.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,2.0,289900.0,"[262900.0, 304300.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,6.0,299900.0,"[262900.0, 304300.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,7.0,349900.0,"[345700.0, 387100.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,1.0,439900.0,"[428500.0, 470314.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,2.0,449900.0,"[428500.0, 470314.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,BUZO,3.0,469900.0,"[428500.0, 470314.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISA,3.0,179900.0,"[179900.0, 184900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISA,5.0,229900.0,"[224900.0, 229950.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,39.0,34900.0,"[34900.0, 54400.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,2.0,89950.0,"[73900.0, 93400.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,18.0,109900.0,"[93400.0, 112900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,2.0,119900.0,"[112900.0, 132400.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,74.0,139900.0,"[132400.0, 151900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,9.0,169900.0,"[151900.0, 171400.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,4.0,179900.0,"[171400.0, 190900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,35.0,189900.0,"[171400.0, 190900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,2.0,209900.0,"[190900.0, 210400.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,1.0,229900.0,"[210400.0, 230095.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CHAQUETA,7.0,399900.0,"[399900.0, 419900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CHAQUETA,7.0,449900.0,"[439900.0, 459900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CHAQUETA,8.0,549900.0,"[539900.0, 559900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,CHAQUETA,14.0,599900.0,"[579900.0, 600100.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,GORRO,1.0,149900.0,"[149900.0, 154900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,GORRO,2.0,199900.0,"[194900.0, 199950.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,20.0,79900.0,"[79900.0, 116900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,16.0,249900.0,"[227900.0, 264900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,2.0,349900.0,"[338900.0, 375900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,7.0,399900.0,"[375900.0, 412900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,2.0,449900.0,"[412900.0, 450270.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,PANTALON,20.0,79900.0,"[79900.0, 136900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,PANTALON,1.0,299900.0,"[250900.0, 307900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,PANTALON,2.0,449900.0,"[421900.0, 478900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,PANTALON,13.0,649900.0,"[592900.0, 650470.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,13.0,31900.0,"[31900.0, 53700.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,3.0,169900.0,"[162700.0, 184500.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,49.0,199900.0,"[184500.0, 206300.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,7.0,229900.0,"[228100.0, 250118.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,5.0,249900.0,"[228100.0, 250118.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,SUDADERA,2.0,299900.0,"[299900.0, 309900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,SUDADERA,4.0,349900.0,"[349900.0, 359900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,SUDADERA,1.0,399900.0,"[389900.0, 400000.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,TENIS,2.0,499900.0,"[469900.0, 509900.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,MASCULINO,TENIS,2.0,549900.0,"[509900.0, 550300.0)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,UNISEX,CAMISA,1.0,229900.0,"[229900.0, 229945.98)"
07P,PILATOS PREMIUM SOPO,MARITHE FRANCOIS GIRBAUD,UNISEX,TENIS,9.0,449900.0,"[449900.0, 449989.98)"
07P,PILATOS PREMIUM SOPO,MONASTERY,FEMENINO,CAMISETA,2.0,340000.0,"[328000.0, 340120.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,MASCULINO,CAMISETA,1.0,470000.0,"[465000.0, 480000.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,MASCULINO,CAMISETA,1.0,510000.0,"[495000.0, 510150.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,MASCULINO,CHAQUETA,1.0,1200000.0,"[1200000.0, 1200240.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,MASCULINO,JEAN,2.0,690000.0,"[690000.0, 692000.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,MASCULINO,JEAN,1.0,710000.0,"[708000.0, 710020.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,MASCULINO,POLO,1.0,410000.0,"[410000.0, 414000.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,MASCULINO,POLO,4.0,450000.0,"[446000.0, 450040.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,MASCULINO,SUDADERA,2.0,850000.0,"[850000.0, 850170.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,UNISEX,BOLSO,2.0,750000.0,"[750000.0, 756000.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,UNISEX,BOLSO,2.0,810000.0,"[804000.0, 810060.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,UNISEX,GORRO,3.0,340000.0,"[332500.0, 342000.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,UNISEX,GORRO,4.0,350000.0,"[342000.0, 351500.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,UNISEX,GORRO,1.0,360000.0,"[351500.0, 361000.0)"
07P,PILATOS PREMIUM SOPO,MONASTERY,UNISEX,GORRO,4.0,380000.0,"[370500.0, 380095.0)"
07P,PILATOS PREMIUM SOPO,NEW BALANCE,FEMENINO,TENIS,12.0,199900.0,"[199900.0, 283900.0)"
07P,PILATOS PREMIUM SOPO,NEW BALANCE,FEMENINO,TENIS,2.0,409900.0,"[367900.0, 451900.0)"
07P,PILATOS PREMIUM SOPO,NEW BALANCE,FEMENINO,TENIS,1.0,419900.0,"[367900.0, 451900.0)"
07P,PILATOS PREMIUM SOPO,NEW BALANCE,FEMENINO,TENIS,1.0,529900.0,"[451900.0, 535900.0)"
07P,PILATOS PREMIUM SOPO,NEW BALANCE,FEMENINO,TENIS,2.0,536900.0,"[535900.0, 619900.0)"
07P,PILATOS PREMIUM SOPO,NEW BALANCE,FEMENINO,TENIS,2.0,589900.0,"[535900.0, 619900.0)"
07P,PILATOS PREMIUM SOPO,NEW BALANCE,FEMENINO,TENIS,1.0,619900.0,"[619900.0, 703900.0)"
07P,PILATOS PREMIUM SOPO,NEW BALANCE,FEMENINO,TENIS,1.0,1039900.0,"[955900.0, 1040740.0)"
