Mes_Cierre,Codigo_Tienda,Tienda,Ciudad,Formato,Jefe_Zona,Target_Tasa_Recompra,Ticket_Promedio_3M,AUR_Neto_3M,Porcentaje_Descuento_3M,Tasa_Devolucion_Dinero_3M,Share_Bottoms_3M,Share_Tops_3M,Share_Calzado_3M,Share_Accesorios_3M,Share_MarcasPropias_3M,Share_Outlet_3M,Share_Femenino_3M,Share_Masculino_3M,UPT_3M,Penetracion_Bottoms_3M,Tasa_Outfit_Completo_3M,Tasa_Captura_HabeasData_3M,Tasa_Captura_Email_3M,Tasa_Captura_Celular_3M,Antiguedad_Promedio_Ponderada_3M
2025-12-01,123,PILATOS UNICENTRO ARMENIA,Armenia,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.1437,604875.93,366654.25,0.2007,0.0788,0.1182,0.3058,0.46,0.2222,0.6905,0.1713,0.2379,0.6429,1.74,0.1186,0.041,0.1511,0.1709,0.1525,116.8
2025-12-01,729,PILATOS DORADA,La Dorada,Pilatos,GONZALEZ PULGARIN OLGA PATRICIA,0.1402,317384.2,232973.51,0.2162,0.0635,0.0591,0.4679,0.2812,0.3166,0.4625,0.3264,0.2313,0.5802,1.44,0.0797,0.0145,0.0942,0.1014,0.0942,0.0
2025-12-01,488,DIESEL CENTRO COMERCIAL EL EDEN,"Bogotá, D.C.",Diesel,VASQUEZ CLAVIJO LAURA LILIANA,0.1387,843005.04,428940.8,0.6291,0.0834,0.3491,0.3013,0.301,0.2708,1.0,0.9914,0.202,0.798,2.11,0.3584,0.104,0.2428,0.2717,0.2775,19.2
2025-12-01,430,DIESEL DE MODA PRIME OUTLET LC 109 MEDEL,Medellín,Diesel,ACEVEDO GALLO CLARA INES,0.1351,714833.96,425661.65,0.5869,0.0547,0.2997,0.246,0.4163,0.1618,1.0,0.9954,0.1811,0.8174,1.76,0.2174,0.0408,0.1386,0.1902,0.163,290.7
2025-12-01,192,PILATOS MALL PLAZA MANIZALES,Manizales,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.1341,569086.53,410958.67,0.2044,0.0669,0.1382,0.2538,0.5163,0.2071,0.7577,0.1946,0.2665,0.5786,1.47,0.0867,0.0233,0.129,0.1543,0.1586,0.0
2025-12-01,141,PILATOS BUENAVISTA MONTERIA,Montería,Pilatos,POSADA RESTREPO MALORY DEL PILAR,0.1339,487897.39,335022.88,0.201,0.0821,0.233,0.2632,0.3815,0.1627,0.8017,0.277,0.1206,0.7426,1.59,0.1748,0.0453,0.2362,0.2557,0.233,9.4
2025-12-01,481,DIESEL OUTLET AMERICAS FACTORY BOGOTA,"Bogotá, D.C.",Diesel,HERNANDEZ TELLEZ SANDRA PAOLA,0.1336,900630.35,421448.82,0.6173,0.0431,0.4339,0.2456,0.2937,0.1687,1.0,0.9937,0.1743,0.8257,2.23,0.4082,0.0877,0.1233,0.137,0.1452,58.2
2025-12-01,150,PILATOS PASEO VILLA DEL RIO BOGOTA,"Bogotá, D.C.",Pilatos,,0.1333,344062.0,174918.81,0.4594,0.0773,0.2888,0.3134,0.3148,0.2855,0.9274,0.7844,0.2321,0.7514,2.06,0.3255,0.1085,0.0849,0.1226,0.1085,13.1
2025-12-01,734,PILATOS FUSAGASUGA,Fusagasugá,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.1311,443915.61,321790.36,0.1415,0.0244,0.1135,0.3938,0.3809,0.2203,0.6437,0.2282,0.2216,0.6469,1.42,0.0964,0.0542,0.0723,0.0904,0.0663,0.0
2025-12-01,101,PILATOS BUENAVISTA BARRANQUILLA,Barranquilla,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.13,625094.54,408581.34,0.146,0.0477,0.2513,0.2776,0.4158,0.1216,0.697,0.1701,0.1574,0.7725,1.61,0.2194,0.057,0.3248,0.2963,0.302,114.7
2025-12-01,129,PILATOS ACCESORIOS PUERTA DEL NORTE BELL,Bello,Pilatos,GONZALEZ PULGARIN OLGA PATRICIA,0.1282,658316.77,497751.7,0.1301,0.0815,0.0539,0.121,0.7367,0.1374,0.5636,0.1555,0.2901,0.5733,1.41,0.0546,0.0174,0.0695,0.0782,0.0732,55.7
2025-12-01,18P,PILATOS UNICO BUCARAMANGA,Bucaramanga,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.1257,338193.33,159166.03,0.5835,0.0412,0.1952,0.2988,0.4489,0.1735,0.957,0.9974,0.1965,0.7908,2.19,0.2747,0.1083,0.0919,0.1066,0.1031,15.3
2025-12-01,744,PILATOS  LETICIA AMAZONAS,Leticia,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.1235,477113.97,253986.04,0.2506,0.0094,0.1261,0.3389,0.4333,0.1732,0.9097,0.3476,0.314,0.6278,1.92,0.1589,0.0561,0.0187,0.0654,0.0654,0.0
2025-12-01,111,PILATOS UNICENTRO CALI,Cali,Pilatos,PARRA NAVIA KAROL YESENIA,0.1221,604119.08,354981.03,0.1448,0.0684,0.265,0.2555,0.3743,0.1737,0.6984,0.1876,0.2242,0.7037,1.81,0.1995,0.0688,0.1697,0.2225,0.195,6.4
2025-12-01,170,PILATOS UNICENTRO VILLAVICENCIO,Villavicencio,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.1203,528634.67,280033.5,0.3045,0.0382,0.2812,0.2897,0.3514,0.1503,0.7948,0.4555,0.2027,0.7311,1.96,0.2551,0.0816,0.2398,0.2347,0.2398,0.0
2025-12-01,712,SUPERDRY IPIALES,Ipiales,Superdry,VASQUEZ CLAVIJO LAURA LILIANA,0.1188,539313.94,423746.67,0.2136,0.0202,0.0356,0.8625,0.0427,0.8629,1.0,0.4089,0.2049,0.7951,1.3,0.0455,0.0,0.053,0.1136,0.1061,0.0
2025-12-01,138,PILATOS VIVA BARRANQUILLA,Barranquilla,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.1188,637744.36,402181.13,0.1841,0.0408,0.2145,0.2471,0.4607,0.1222,0.6883,0.15,0.1674,0.6742,1.66,0.169,0.0548,0.2,0.2143,0.2238,86.5
2025-12-01,145,PILATOS DE MODA PRIME OUTLET LC 108,Medellín,Pilatos,GONZALEZ PULGARIN OLGA PATRICIA,0.1187,418491.39,177936.01,0.5867,0.0329,0.1442,0.3409,0.4143,0.2682,0.8803,0.9699,0.1968,0.7735,2.42,0.1983,0.0793,0.119,0.1462,0.1512,610.8
2025-12-01,183,PILATOS IPIALES,Ipiales,Pilatos,PARRA NAVIA KAROL YESENIA,0.1183,620719.53,437054.58,0.2498,0.045,0.1625,0.3456,0.428,0.3006,0.8053,0.3601,0.2403,0.6702,1.49,0.1284,0.0467,0.07,0.07,0.0778,1.4
2025-12-01,12P,PILATOS UNICO VILLAVICENCIO,Villavicencio,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.1176,338792.63,131052.34,0.5702,0.0498,0.1509,0.2975,0.4465,0.2462,0.8851,0.9954,0.1823,0.8047,2.65,0.2786,0.1042,0.1463,0.1403,0.1603,16.3
2025-12-01,720,PILATOS PASTO,Pasto,Pilatos,PARRA NAVIA KAROL YESENIA,0.1172,641232.35,491292.45,0.1844,0.0373,0.1037,0.3599,0.4627,0.3046,0.8115,0.2217,0.1971,0.7261,1.35,0.0909,0.0162,0.0877,0.0942,0.0942,0.0
2025-12-01,P06,PILATOS FLORIDA PARQUE COMERCIAL,Medellín,Pilatos,POSADA RESTREPO MALORY DEL PILAR,0.1167,631892.37,449555.27,0.2079,0.0702,0.0306,0.2034,0.687,0.1569,0.7793,0.3505,0.2303,0.6763,1.49,0.0524,0.014,0.0629,0.0699,0.0664,46.1
2025-12-01,421,DIESEL FONTANAR CHIA,Chía,Diesel,VASQUEZ CLAVIJO LAURA LILIANA,0.1154,1540936.14,887033.35,0.1066,0.1086,0.4778,0.2194,0.1699,0.2576,1.0,0.1609,0.2737,0.6885,1.92,0.5128,0.109,0.1987,0.1923,0.1859,50.9
2025-12-01,317,PILATOS UNICENTRO PEREIRA,Pereira,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.1146,588319.14,372404.04,0.1704,0.0833,0.1798,0.3042,0.3798,0.2234,0.5457,0.2759,0.1935,0.6746,1.71,0.1436,0.0505,0.1463,0.1463,0.1569,22.9
2025-12-01,728,SUPERDRY PASTO,Pasto,Superdry,VASQUEZ CLAVIJO LAURA LILIANA,0.1133,591874.84,420258.16,0.1701,0.0309,0.0372,0.7807,0.1295,0.7473,1.0,0.1567,0.2361,0.7394,1.45,0.0418,0.0193,0.0547,0.1029,0.1029,0.0
2025-12-01,116,PILATOS ARBOLEDA PEREIRA,Pereira,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.1124,678378.0,418092.54,0.1383,0.0526,0.1314,0.2812,0.4926,0.1824,0.5261,0.1168,0.1885,0.6435,1.7,0.1197,0.046,0.1554,0.1864,0.1772,39.8
2025-12-01,11P,PILATOS UNICO PEREIRA,Dosquebradas,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.1123,418919.15,196182.06,0.582,0.068,0.1626,0.2681,0.517,0.1768,0.8796,0.9918,0.2221,0.7602,2.24,0.2099,0.0718,0.1174,0.1271,0.1229,42.1
2025-12-01,188,PILATOS CACIQUE BUCARAMANGA,Bucaramanga,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.112,782138.64,433264.79,0.1699,0.0372,0.2948,0.2834,0.3477,0.1321,0.8259,0.1959,0.1638,0.7962,1.87,0.239,0.0984,0.1205,0.1265,0.1285,0.0
2025-12-01,14P,PILATOS SAN NICOLAS RIONEGRO,Rionegro,Pilatos,POSADA RESTREPO MALORY DEL PILAR,0.1119,487612.44,293064.18,0.4722,0.1523,0.1389,0.2214,0.5961,0.1813,0.8295,0.7872,0.251,0.6861,1.84,0.2034,0.0537,0.1554,0.1723,0.1525,8.4
2025-12-01,143,PILATOS CARACOLI BUCARAMANGA,Floridablanca,Pilatos,SANTOS HERNANDEZ ANGELICA MARIA,0.1111,568124.53,367471.13,0.172,0.0667,0.3697,0.2378,0.3174,0.1255,0.8368,0.1627,0.2489,0.6749,1.64,0.3533,0.0899,0.197,0.2099,0.1884,95.2
2025-12-01,19P,PILATOS LA HERRADURA TULUA,Tuluá,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.1091,462650.64,334889.38,0.1878,0.0383,0.0663,0.2717,0.5745,0.1417,0.6429,0.302,0.1928,0.7066,1.44,0.0665,0.0289,0.0491,0.0491,0.0578,4.9
2025-12-01,P14,PILATOS NUESTRO MONTERIA,Montería,Pilatos,POSADA RESTREPO MALORY DEL PILAR,0.1081,238706.16,100991.07,0.6073,0.0113,0.2793,0.4243,0.1923,0.3285,0.953,1.0,0.2433,0.7467,2.37,0.3485,0.0909,0.1263,0.1364,0.1263,2.1
2025-12-01,M10,MFG SAN NICOLAS RIONEGRO,Rionegro,MFG,HENAO LOPEZ MARIBEL,0.1075,305705.68,217521.35,0.1226,0.0364,0.2992,0.5377,0.0669,0.2694,0.9331,0.1197,0.2937,0.6392,1.45,0.2162,0.0541,0.1441,0.1622,0.1261,7.5
2025-12-01,625,SUPERDRY FLORIDA PARQUE COMERCIAL,Medellín,Superdry,ACEVEDO GALLO CLARA INES,0.1066,492287.47,324962.57,0.1883,0.0781,0.0192,0.8039,0.074,0.6966,1.0,0.4179,0.1619,0.8381,1.63,0.0244,0.0054,0.0352,0.0434,0.0488,7.1
2025-12-01,429,DIESEL LA QUINTA BUCARAMANGA,Bucaramanga,Diesel,HERNANDEZ TELLEZ SANDRA PAOLA,0.1049,1304879.17,852066.62,0.1507,0.0869,0.5587,0.1774,0.1805,0.1385,1.0,0.196,0.1688,0.8196,1.68,0.5029,0.0857,0.2229,0.2457,0.2171,5.2
2025-12-01,737,PILATOS LA ESTACION IBAGUE,Ibagué,Pilatos,GONZALEZ PULGARIN OLGA PATRICIA,0.1046,462844.16,302416.1,0.1996,0.0218,0.1554,0.3304,0.4024,0.1966,0.7774,0.3012,0.2062,0.7003,1.56,0.128,0.0366,0.1037,0.1138,0.1159,0.0
2025-12-01,104,PILATOS BUENAVISTA SANTA MARTA,Santa Marta,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.104,439224.49,299884.31,0.1524,0.0561,0.1291,0.3393,0.4188,0.1913,0.5805,0.1972,0.1617,0.6798,1.53,0.1237,0.048,0.1187,0.1237,0.1212,36.5
2025-12-01,M11,MFG FLORIDA PARQUE COMERCIAL,Medellín,MFG,HENAO LOPEZ MARIBEL,0.1033,284343.93,187456.37,0.1686,0.0575,0.2408,0.5238,0.0785,0.3155,0.9373,0.2077,0.2568,0.6923,1.6,0.1798,0.0506,0.0618,0.0702,0.0674,27.8
2025-12-01,415,DIESEL ARBOLEDA PEREIRA,Pereira,Diesel,HERNANDEZ TELLEZ SANDRA PAOLA,0.1032,1328429.62,785215.18,0.147,0.0591,0.3328,0.187,0.3115,0.2663,1.0,0.183,0.3373,0.6273,1.78,0.318,0.0623,0.1869,0.223,0.2262,31.3
2025-12-01,153,PILATOS PLAZA FABRICATO BELLO,Bello,Pilatos,GONZALEZ PULGARIN OLGA PATRICIA,0.1021,549588.12,391373.36,0.1806,0.0667,0.0492,0.2046,0.6198,0.18,0.7208,0.2616,0.1822,0.6583,1.48,0.0561,0.0193,0.0735,0.0909,0.0774,46.7
2025-12-01,218,NEW BALANCE ARBOLEDA,Pereira,NewBalance,LLANOS GIRALDO ERIKA MARCELA,0.1017,872828.11,649892.14,0.0733,0.0586,0.0072,0.0393,0.9349,0.0418,0.9996,0.1562,0.4075,0.4076,1.43,0.0198,0.0062,0.0946,0.0998,0.0956,44.2
2025-12-01,122,PILATOS ARRECIFE SANTA MARTA,Santa Marta,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.1011,444888.33,263772.59,0.1795,0.0388,0.2074,0.4463,0.1966,0.2204,0.6513,0.314,0.1338,0.8157,1.75,0.1475,0.0737,0.212,0.2535,0.2028,99.8
2025-12-01,102,PILATOS PORTAL DEL QUINDIO ARMENIA,Armenia,Pilatos,LLANOS GIRALDO ERIKA MARCELA,0.101,517794.73,366900.46,0.2036,0.0626,0.0319,0.2749,0.5478,0.1707,0.5921,0.155,0.1786,0.6266,1.5,0.0141,0.0028,0.1211,0.1493,0.1183,40.9
2025-12-01,419,DIESEL SANTAFE BOGOTA,"Bogotá, D.C.",Diesel,HERNANDEZ TELLEZ SANDRA PAOLA,0.1,1242482.94,588255.2,0.284,0.0633,0.4373,0.2274,0.2542,0.2111,1.0,0.3545,0.1802,0.8031,2.21,0.3925,0.0561,0.2243,0.2523,0.271,25.2
2025-12-01,426,DIESEL MULTIPLAZA LA FELICIDAD BOGOTA,"Bogotá, D.C.",Diesel,VASQUEZ CLAVIJO LAURA LILIANA,0.1,1333222.19,870450.85,0.1368,0.0737,0.3486,0.1403,0.4111,0.1732,1.0,0.2731,0.2099,0.7751,1.63,0.3038,0.0506,0.1329,0.1519,0.1519,9.1
2025-12-01,BC3,BROKEN CHAINS CALI,Cali,,,0.0986,1096719.37,625611.28,0.0263,0.0284,0.0601,0.0955,0.802,0.0751,0.1234,0.0645,0.2212,0.3703,1.8,0.085,0.0486,0.0931,0.0931,0.0891,0.0
2025-12-01,P08,PILATOS CENTRO COMERCIAL EL EDÉN,"Bogotá, D.C.",Pilatos,RAMIREZ BALVIN VICTOR MANUEL,0.0978,332788.04,98040.26,0.5975,0.0554,0.2474,0.2779,0.3962,0.3022,0.9176,0.9954,0.3009,0.6724,3.47,0.3664,0.1272,0.0763,0.0891,0.0967,18.3
2025-12-01,402,DIESEL BUENAVISTA BARRANQUILLA,Barranquilla,Diesel,HERNANDEZ TELLEZ SANDRA PAOLA,0.0968,1498858.57,891769.4,0.1475,0.0459,0.4718,0.1075,0.2597,0.1951,1.0,0.185,0.3291,0.6515,1.77,0.4308,0.0615,0.35,0.35,0.3692,61.7
2025-12-01,193,PILATOS UNICENTRO TUNJA,Tunja,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.096,507913.42,317707.16,0.3331,0.0984,0.1657,0.4473,0.3177,0.3817,0.9295,0.4983,0.28,0.6837,1.67,0.1776,0.0461,0.2237,0.2171,0.2237,0.0
2025-12-01,607,SUPERDRY DE MODA PRIME OUTLET LC 110,Medellín,Superdry,ACEVEDO GALLO CLARA INES,0.0959,295426.27,146441.31,0.5733,0.0447,0.0693,0.7912,0.0499,0.4878,1.0,0.9859,0.1521,0.8479,2.1,0.1241,0.0496,0.1241,0.1638,0.1638,38.2
2025-12-01,416,DIESEL JARDIN PLAZA CALI,Cali,Diesel,VASQUEZ CLAVIJO LAURA LILIANA,0.0938,1167396.02,740923.06,0.1493,0.0562,0.3155,0.2317,0.3424,0.1758,1.0,0.1831,0.2688,0.722,1.64,0.2706,0.0477,0.2042,0.183,0.2016,74.3
2025-12-01,107,PILATOS MALL PLAZA CARTAGENA,Cartagena De Indias,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.093,488531.46,336860.46,0.1398,0.0449,0.1393,0.2879,0.4761,0.1521,0.7054,0.1099,0.1682,0.684,1.51,0.1318,0.0448,0.2114,0.2289,0.2015,20.3
2025-12-01,110,PILATOS JARDIN PLAZA CALI,Cali,Pilatos,PARRA NAVIA KAROL YESENIA,0.0922,605637.35,369872.78,0.118,0.0485,0.1383,0.2963,0.4612,0.1616,0.7108,0.135,0.203,0.6769,1.69,0.111,0.0423,0.13,0.1342,0.1364,120.5
2025-12-01,745,PILATOS VIVA TUNJA,Tunja,Pilatos,ARNEDO GARCIA CARMEN ELISA,0.0879,579608.49,387973.23,0.2669,0.1083,0.239,0.2708,0.4193,0.2199,0.8598,0.4196,0.2719,0.6598,1.58,0.1818,0.0424,0.1576,0.1606,0.1515,0.0
