CodigoAlmacen,nombrealmacen,Marca,Genero,Tipo,f126_precio,Despacho
CDEDM,CENTRO DE DISTRIBUCION EDM,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISA,199900.0,179.0
ML225,NEW BALANCE FLORIDA PARQUE COMERCIAL,NEW BALANCE,FEMENINO,CHAQUETA,649900.0,1.0
PL335,PILATOS OUTLET AMERICAS 2 BOG,MARITHE FRANCOIS GIRBAUD,FEMENINO,CHAQUETA,249900.0,6.0
PL107,PILATOS MALL PLAZA CARTAGENA,SUPERDRY,MASCULINO,MORRAL,339900.0,1.0
PL19P,PILATOS LA HERRADURA TULUA,MARITHE FRANCOIS GIRBAUD,MASCULINO,CAMISETA,249900.0,15.0
MF743,MFG CACIQUE BUCARAMANGA,MARITHE FRANCOIS GIRBAUD,FEMENINO,BUZO,399900.0,3.0
ML668,KIPLING SANTAFE MEDELLIN,KIPLING,FEMENINO,CARTUCHERA,249900.0,148.0
ML211,NEW BALANCE MAYORCA SABANETA,NEW BALANCE,MASCULINO,TENIS,569900.0,2.0
MF728,SUPERDRY PASTO,SUPERDRY,MASCULINO,MORRAL,419900.0,2.0
BBC1 ,BROKEN CHAINS MEDELLIN,ADIDAS,UNISEX,TENIS,749950.0,26.0
ML223,NEW BALANCE MALL PLAZA MANIZALES,NEW BALANCE,FEMENINO,TENIS,889900.0,34.0
ML407,DIESEL EL RETIRO BOGOTA,DIESEL ADULTO,UNISEX,JOYERIA,649900.0,7.0
MLM05,MFG MULTIPLAZA LA FELICIDAD BOGOTA,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,249900.0,33.0
PL138,PILATOS VIVA BARRANQUILLA,NIKE,FEMENINO,TENIS,579950.0,3.0
ML210,NEW BALANCE EL TESORO MEDELLIN,NEW BALANCE,NIÑO,TENIS,649900.0,13.0
PL17P,PILATOS ACCESORIOS SAN NICOLAS RIONEGRO,LE COQ SPORTIF,MASCULINO,TENIS,480000.0,1.0
pf745,PILATOS VIVA TUNJA,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,249900.0,11.0
PF745,PILATOS VIVA TUNJA,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,249900.0,3.0
PL12P,PILATOS UNICO VILLAVICENCIO,SUPERDRY,MASCULINO,CAMISETA,299900.0,85.0
ML423,DIESEL PARQUE LA COLINA BOGOTA,DIESEL ADULTO,MASCULINO,TENIS,1399900.0,26.0
PL139,PILATOS VIVA VILLAVICENCIO,AP CROWN,MASCULINO,CAMISETA,360000.0,16.0
PL151,PILATOS ACCESORIOS VIVA ENVIGADO,MARITHE FRANCOIS GIRBAUD,MASCULINO,PANTALON,349900.0,4.0
PL147,PILATOS MAYORCA SABANETA,NIKE,MASCULINO,TENIS,804950.0,3.0
PL08P,PILATOS UNICO BARRANQUILLA,MARITHE FRANCOIS GIRBAUD,UNISEX,CAMISA,229900.0,5.0
ML669,KIPLING CENTRO COMERCIAL EL EDÉN,KIPLING,NO APLICA,MATERIAL PUBLICITARIO,1.0,20.0
PL810,SMART SALE,DIESEL ADULTO,FEMENINO,JEAN,1449900.0,4.0
CDEDM,CENTRO DE DISTRIBUCION EDM,REPLAY,FEMENINO,PANTALON,799900.0,3.0
ML411,DIESEL EL TESORO MEDELLIN,DIESEL ADULTO,UNISEX,RELOJ,1699900.0,1.0
MLM02,MFG OVIEDO MEDELLIN,MARITHE FRANCOIS GIRBAUD,FEMENINO,FALDA,369900.0,1.0
MLM11,MFG FLORIDA PARQUE COMERCIAL,MARITHE FRANCOIS GIRBAUD,MASCULINO,POLO,219900.0,1.0
PL15P,PILATOS UNICENTRO MEDELLIN,MONASTERY,FEMENINO,CAMISETA,250000.0,2.0
ML605,SUPERDRY MAYORCA SABANETA,SUPERDRY,MASCULINO,BUZO,589900.0,1.0
PL111,PILATOS UNICENTRO CALI,MARITHE FRANCOIS GIRBAUD,MASCULINO,JEAN,669900.0,14.0
PL143,PILATOS CARACOLI BUCARAMANGA,MARITHE FRANCOIS GIRBAUD,FEMENINO,JEAN,459900.0,2.0
PL08P,PILATOS UNICO BARRANQUILLA,SUPERDRY,MASCULINO,CAMISETA,159900.0,4.0
PL08P,PILATOS UNICO BARRANQUILLA,MONASTERY,FEMENINO,CAMISETA,230000.0,7.0
PL15P,PILATOS UNICENTRO MEDELLIN,SUPERDRY,FEMENINO,CHAQUETA,649900.0,1.0
ML416,DIESEL JARDIN PLAZA CALI,DIESEL ADULTO,MASCULINO,CAMISA,1099900.0,3.0
PL111,PILATOS UNICENTRO CALI,CLEMONT,UNISEX,GORRO,270000.0,9.0
PL11P,PILATOS UNICO PEREIRA,DIESEL ADULTO,MASCULINO,TENIS,1249900.0,1.0
PL131,PILATOS GRAN PLAZA IPIALES,DIESEL ADULTO,FEMENINO,TENIS,1199900.0,30.0
PL121,PILATOS TITAN PLAZA BOGOTA,MONASTERY,UNISEX,BOLSO,810000.0,1.0
PL107,PILATOS MALL PLAZA CARTAGENA,SUPERDRY,MASCULINO,MORRAL,489900.0,4.0
MO481,DIESEL OUTLET AMERICAS FACTORY BOGOTA,DIESEL ADULTO,FEMENINO,BUZO,1399900.0,4.0
