,Tienda,Marca,Genero,Tipo,Precio_Intervalo,Cantidad_Inventario,Porcentaje_Actual,Porcentaje_Ventas
45,BROKEN CHAINS CALI,ADIDAS,FEMENINO,PANTALON,"[569950.0, 614950.0)",3.0,0.05454545454545454,0.25
46,BROKEN CHAINS CALI,ADIDAS,FEMENINO,PANTALON,"[614950.0, 659950.0)",2.0,0.03636363636363636,0.125
47,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,PANTALON,"[344950.0, 389950.0)",7.0,0.1590909090909091,0.2857142857142857
48,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,PANTALON,"[479950.0, 524950.0)",17.0,0.38636363636363635,0.42857142857142855
49,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,PANTALON,"[569950.0, 614950.0)",2.0,0.045454545454545456,0.14285714285714285
50,BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,PANTALON,"[399950.0, 424950.0)",2.0,0.05555555555555555,0.5
51,BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,PANTALON,"[474950.0, 500200.0)",6.0,0.16666666666666666,0.5
52,BROKEN CHAINS CALI,ADIDAS,FEMENINO,POLO,"[189950.0, 189987.99)",2.0,1.0,1.0
53,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,RELOJ,"[379950.0, 380025.99)",2.0,1.0,1.0
54,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,TENIS,"[399950.0, 509950.0)",66.0,0.264,0.09375
55,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,TENIS,"[509950.0, 619950.0)",127.0,0.508,0.59375
56,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,TENIS,"[619950.0, 729950.0)",39.0,0.156,0.25
57,BROKEN CHAINS BOGOTA,ADIDAS,FEMENINO,TENIS,"[1279950.0, 1389950.0)",2.0,0.008,0.0625
58,BROKEN CHAINS CALI,ADIDAS,FEMENINO,TENIS,"[399950.0, 489950.0)",26.0,0.12093023255813953,0.07142857142857142
59,BROKEN CHAINS CALI,ADIDAS,FEMENINO,TENIS,"[489950.0, 579950.0)",25.0,0.11627906976744186,0.21428571428571427
60,BROKEN CHAINS CALI,ADIDAS,FEMENINO,TENIS,"[579950.0, 669950.0)",150.0,0.6976744186046512,0.6428571428571429
61,BROKEN CHAINS CALI,ADIDAS,FEMENINO,TENIS,"[669950.0, 759950.0)",12.0,0.05581395348837209,0.07142857142857142
62,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,TENIS,"[419982.0, 529978.0)",34.0,0.12927756653992395,0.3
63,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,TENIS,"[529978.0, 639974.0)",130.0,0.49429657794676807,0.5666666666666667
64,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,TENIS,"[639974.0, 749970.0)",49.0,0.18631178707224336,0.1
65,BROKEN CHAINS MEDELLIN,ADIDAS,FEMENINO,TENIS,"[749970.0, 859966.0)",1.0,0.0038022813688212928,0.03333333333333333
66,BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,TENIS,"[429950.0, 459950.0)",23.0,0.10952380952380952,0.125
67,BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,TENIS,"[579950.0, 609950.0)",106.0,0.5047619047619047,0.75
68,BROKEN CHAINS PEREIRA,ADIDAS,FEMENINO,TENIS,"[639950.0, 669950.0)",33.0,0.15714285714285714,0.125
69,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,BERMUDA,"[319950.0, 329950.0)",2.0,0.14285714285714285,0.3333333333333333
70,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,BERMUDA,"[339950.0, 350050.0)",5.0,0.35714285714285715,0.6666666666666666
71,BROKEN CHAINS CALI,ADIDAS,MASCULINO,BERMUDA,"[349950.0, 379950.0)",5.0,0.8333333333333334,1.0
72,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,BERMUDA,"[338950.0, 350060.0)",1.0,0.5,0.5
73,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,BUZO,"[399950.0, 449950.0)",5.0,0.8333333333333334,1.0
74,BROKEN CHAINS CALI,ADIDAS,MASCULINO,BUZO,"[699950.0, 700089.99)",5.0,1.0,1.0
75,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,CAMISETA,"[199950.0, 219950.0)",11.0,0.5789473684210527,0.2
76,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,CAMISETA,"[339950.0, 359950.0)",1.0,0.05263157894736842,0.6
77,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,CAMISETA,"[379950.0, 400150.0)",5.0,0.2631578947368421,0.2
78,BROKEN CHAINS CALI,ADIDAS,MASCULINO,CAMISETA,"[199950.0, 249950.0)",6.0,0.35294117647058826,0.3333333333333333
79,BROKEN CHAINS CALI,ADIDAS,MASCULINO,CAMISETA,"[349950.0, 399950.0)",3.0,0.17647058823529413,0.3333333333333333
80,BROKEN CHAINS CALI,ADIDAS,MASCULINO,CAMISETA,"[399950.0, 449950.0)",5.0,0.29411764705882354,0.3333333333333333
81,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,CAMISETA,"[199950.0, 249950.0)",14.0,0.7,0.2222222222222222
82,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,CAMISETA,"[399950.0, 449950.0)",5.0,0.25,0.1111111111111111
83,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,CAMISETA,"[649950.0, 700450.0)",1.0,0.05,0.1111111111111111
84,BROKEN CHAINS PEREIRA,ADIDAS,MASCULINO,CAMISETA,"[384950.0, 419950.0)",5.0,0.5,1.0
85,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,ENTERIZO,"[3999950.0, 4000749.99)",1.0,1.0,1.0
86,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,GORRO,"[119950.0, 123950.0)",4.0,0.5,0.2
87,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,GORRO,"[139950.0, 143950.0)",2.0,0.25,0.8
88,BROKEN CHAINS CALI,ADIDAS,MASCULINO,GORRO,"[119950.0, 121950.0)",4.0,0.2,1.0
89,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,GORRO,"[155950.0, 159990.0)",4.0,0.4444444444444444,1.0
90,BROKEN CHAINS CALI,ADIDAS,MASCULINO,MEDIAS,"[69950.0, 70954.0)",6.0,0.6666666666666666,1.0
91,BROKEN CHAINS PEREIRA,ADIDAS,MASCULINO,MEDIAS,"[69950.0, 69963.99)",6.0,1.0,1.0
92,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,PANTALON,"[299950.0, 429950.0)",7.0,0.35,1.0
93,BROKEN CHAINS CALI,ADIDAS,MASCULINO,PANTALON,"[299950.0, 339950.0)",5.0,0.2631578947368421,1.0
94,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,PANTALON,"[299950.0, 339950.0)",4.0,0.17391304347826086,0.3333333333333333
95,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,PANTALON,"[379950.0, 419950.0)",2.0,0.08695652173913043,0.3333333333333333
96,BROKEN CHAINS MEDELLIN,ADIDAS,MASCULINO,PANTALON,"[419950.0, 459950.0)",6.0,0.2608695652173913,0.3333333333333333
97,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,SUDADERA,"[487950.0, 500070.0)",1.0,0.14285714285714285,1.0
98,BROKEN CHAINS CALI,ADIDAS,MASCULINO,SUDADERA,"[489950.0, 500050.0)",3.0,0.75,1.0
99,BROKEN CHAINS BOGOTA,ADIDAS,MASCULINO,TENIS,"[491950.0, 567950.0)",6.0,0.05084745762711865,0.013157894736842105
