CO,almacen_bodegaedm,almacen_descri,almacen_grupo_canal,almacen_formato_crm
307,PO307,PILATOS OUTLET SAN NICOLAS RIONEGRO,Pilatos,Mixta
308,PO308,PILATOS OUTLET UNICENTRO MEDELLIN,Pilatos,Mixta
309,PO309,PILATOS OUTLET CALLE 16 MEDELLIN,Pilatos,Outlet
310,PO310,PILATOS OUTLET UNICO CALI,Pilatos,Outlet
311,OP311,PILATOS OUTLET PANORAMA BARRANQUILLA,Pilatos,Outlet
312,PO312,PILATOS OUTLET UNICO PEREIRA,Pilatos,Outlet
313,PO313,PILATOS OUTLET UNICO VILLAVICENCIO,Pilatos,Outlet
314,PO314,PILATOS OUTLET CALIMA BOGOTA,Pilatos,Outlet
315,PO315,PILATOS OUTLET GRAN PLAZA DEL SOL BQUILL,Pilatos,Outlet
316,PO316,PILATOS OUTLET PALMETTO PLAZA CALI,Pilatos,Outlet
317,PO317,PILATOS UNICENTRO PEREIRA,Pilatos,Outlet
318,OP318,PILATOS OUTLET ECOPLAZA MOSQUERA,Pilatos,Outlet
319,PO319,PILATOS OUTLET LA TORRE ITAGUI,Pilatos,Outlet
320,PO320,PILATOS OUTLET TOBERIN BOGOTA,Pilatos,Outlet
321,OP321,CELIO OUTLET PLAZA AMERICAS BOGOTA,Celio,Outlet
322,OP322,CHOPPER CALLE 14 MEDELLIN,Pilatos,Outlet
323,PO323,PILATOS OUTLET NUESTRO ATLANTICO BQLLA,Pilatos,Outlet
324,PO324,PILATOS OUTLET AMERICAS II BOGOTA,Pilatos,Outlet
325,PO325,PILATOS OUTLET UNICO NEIVA,Pilatos,Outlet
326,PO326,PILATOS OUTLET FACTORY BOGOTA,Pilatos,Outlet
327,PO327,PILATOS OUTLET CENTRO HISTÓRICO CARTAGEN,Pilatos,Outlet
328,PO328,PILATOS OUTLET SAN PEDRO PLAZA NEIVA,Pilatos,Outlet
329,PO329,PILATOS OUTLET PEREIRA PLAZA,Pilatos,Outlet
330,PO330,PILATOS OUTLET NUESTRO URABA,Pilatos,Outlet
331,PO331,PILATOS OUTLET PREMIUM SOPO,Pilatos,Outlet
332,PO332,PILATOS OUTLET CENTRO DE LA MODA LC 113,Pilatos,Outlet
333,PO333,PILATOS OUTLET UNICO PASTO,Pilatos,Outlet
401,LM401,DIESEL ARCOS CARTAGENA,Diesel,Linea
402,ML402,DIESEL BUENAVISTA BARRANQUILLA,Diesel,Linea
404,ML404,DIESEL CALLE 122 BOGOTA,Diesel,Linea
405,ML405,DIESEL GRAN ESTACION BOGOTA,Diesel,Linea
406,ml406,DIESEL ANDINO BOGOTA,Diesel,Linea
407,ML407,DIESEL EL RETIRO BOGOTA,Diesel,Linea
408,LM408,DIESEL ACCESORIOS ANDINO BOGOTA,Diesel,Linea
409,ML409,DIESEL CHIPICHAPE CALI,Diesel,Linea
410,ML410,DIESEL UNICENTRO CALI,Diesel,Linea
411,ML411,DIESEL EL TESORO MEDELLIN,Diesel,Linea
412,ML412,DIESEL SANDIEGO MEDELLIN,Diesel,Linea
413,ML413,DIESEL OVIEDO MEDELLIN,Diesel,Linea
414,ML414,DIESEL SANTAFE MEDELLIN,Diesel,Linea
415,ML415,DIESEL ARBOLEDA PEREIRA,Diesel,Linea
416,ML416,DIESEL JARDIN PLAZA CALI,Diesel,Linea
417,ML417,DIESEL PLAZA BOCAGRANDE CARTAGENA,Diesel,Linea
418,ML418,DIESEL UNICENTRO BOGOTA,Diesel,Linea
419,ML419,DIESEL SANTAFE BOGOTA,Diesel,Linea
421,ML421,DIESEL FONTANAR CHIA,Diesel,Linea
422,MO422,DIESEL OUTLET MAYORCA SABANETA,Diesel,Mixta
423,ML423,DIESEL PARQUE LA COLINA BOGOTA,Diesel,Linea
424,ML424,DIESEL VIVA BARRANQUILLA,Diesel,Linea
425,ML425,DIESEL SANTA LUCIA NEIVA,Diesel,Linea
426,ML426,DIESEL MULTIPLAZA LA FELICIDAD BOGOTA,Diesel,Linea
427,MO427,DIESEL OUTLET SANTALUCIA PLAZA NEIVA,Diesel,Outlet
428,ML428,DIESEL  CARACOLI BUCARAMANGA,Diesel,Linea
429,ML429,DIESEL LA QUINTA BUCARAMANGA,Diesel,Linea
430,ML430,DIESEL DE MODA PRIME OUTLET LC 109 MEDEL,Diesel,Mixta
481,MO481,DIESEL OUTLET AMERICAS FACTORY BOGOTA,Diesel,Outlet
482,MO482,DIESEL OUTLET ARCOS CARTAGENA,Diesel,Linea
501,ML501,CELIO GRAN ESTACION BOGOTA,Celio,Linea
502,ML502,CELIO TITAN PLAZA BOGOTA,Celio,Linea
504,LM504,CELIO UNICENTRO BOGOTA,Celio,
505,ML505,CELIO EL TESORO MEDELLIN,Celio,Linea
506,ML506,CELIO MALL PLAZA CARTAGENA,Celio,
507,ML507,CELIO VIVA VILLAVICENCIO,Celio,
508,ML508,CELIO ARBOLEDA PEREIRA,Celio,Linea
509,ML509,CELIO SANTAFE BOGOTA,Celio,Linea
510,FQ510,CELIO CABLE PLAZA MANIZALES,Celio,Franquicia
511,ML511,CELIO SANTAFE MEDELLIN,Celio,Linea
512,FQ512,CELIO CAMPANARIO POPAYAN,Celio,Franquicia
513,ML513,CELIO MAYORCA,Celio,Mixta
514,ML514,CELIO DE MODA PRIME OUTLET LC 108,Celio,Mixta
515,ML515,CELIO ACQUA POWER CENTER LOC. 114 IBAGUE,Celio,Linea
581,MO581,CELIO OUTLET AMERICAS FACTORY BOGOTA,Celio,Outlet
601,ML601,SUPERDRY TITAN PLAZA BOGOTA,Superdry,Linea
602,ML602,SUPERDRY EL TESORO MEDELLIN,Superdry,Linea
603,ML603,SUPERDRY MULTIPLAZA LA FELICIDAD BOGOTA,Superdry,
604,ML604,SUPERDRY GRAN ESTACION BOGOTA,Superdry,Linea
605,ML605,SUPERDRY MAYORCA SABANETA,Superdry,Mixta
606,ML606,SUPERDRY OVIEDO MEDELLIN,Superdry,Linea
607,ML607,SUPERDRY DE MODA PRIME OUTLET LC 110,Superdry,Mixta
608,ML608,SUPERDRY BUENAVISTA BARRANQUILLA,Superdry,Linea
609,ML609,SUPERDRY VIVA LC 142 ENVIGADO,Superdry,Linea
610,ML610,SUPERDRY MALL PLAZA MANIZALES,Superdry,
611,ML611,SUPERDRY SANTAFE LC 240 BOGOTA,Superdry,Linea
651,LM651,MULTIMONOMARCA EL TESORO MEDELLIN,Diesel,Linea
652,ML652,KIPLING ANDINO BOGOTA,Kipling,Linea
653,ML653,KIPLING SANTAFE MEDELLIN,Kipling,Linea
